objectId,witness
sp_185_Normalized,{}
sp_170_Normalized,"{""width"":0,""videoId"":"""",""height"":0}"
sp_205_Normalized,"{""jobName"":"""",""runDuration"":"""",""applicationContext"":{""name"":"""",""version"":""0.0.0""},""startTime"":"""",""jobReference"":"""",""runState"":""RUNNING"",""runReference"":"""",""taskStates"":[],""factfile"":"""",""tags"":{}}"
sp_415_Normalized,"{""dt"":"""",""main"":{""temp"":0,""temp_min"":0,""humidity"":0,""pressure"":0,""temp_max"":0},""clouds"":{""all"":0}}"
sp_15_Normalized,"{""datetime"":"""",""id"":""""}"
sp_183_Normalized,{}
sp_366_Normalized,"{""schema"":"""",""password"":"""",""database"":"""",""purpose"":""ENRICHED_EVENTS"",""port"":1,""name"":"""",""host"":"""",""sslMode"":""DISABLE"",""username"":""""}"
sp_400_Normalized,"{""loaded"":0,""controls"":false,""avaliablePlaybackRates"":[],""buffering"":false,""unstarted"":false,""autoPlay"":false,""url"":"""",""playbackQuality"":"""",""playerId"":"""",""cued"":false}"
sp_329_Normalized,"{""payload"":"""",""failure"":{""loader"":""clj-tomcat"",""message"":{""error"":""""},""timestamp"":""""},""processor"":{""artifact"":"""",""version"":""0.0.0""}}"
sp_179_Normalized,{}
sp_370_Normalized,"{""schema"":"""",""compRows"":1000,""password"":"""",""database"":"""",""purpose"":""ENRICHED_EVENTS"",""port"":1,""roleArn"":""\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000\u0000"",""maxError"":0,""name"":"""",""host"":"""",""username"":"""",""sslMode"":""DISABLE""}"
sp_169_Normalized,"{""displayProperties"":[],""displayHeight"":0,""captionsMode"":"""",""modelType"":"""",""connectionType"":"""",""videoMode"":"""",""audioOutputChannel"":"""",""features"":[],""displayWidth"":0,""countryCode"":"""",""model"":"""",""timeSinceLastKeypress"":0,""modelDisplayName"":""""}"
sp_16_Normalized,"{""datetime"":"""",""id"":""""}"
sp_340_Normalized,"{""payload"":{""schema"":""iglu:com.snowplowanalytics.snowplow.badrows/adapter_failures/jsonschema/1-0-0"",""data"":{""failure"":"""",""processor"":{}}},""failure"":false,""processor"":{""artifact"":"""",""version"":""0.0.0""}}"
sp_351_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""pii"":[],""strategy"":{""pseudonymize"":{""hashFunction"":""MD2""}}},""enabled"":true}"
sp_308_Normalized,[]
sp_336_Normalized,"{""payload"":"""",""failure"":{""fieldCount"":true,""type"":""NotTSV"",""errors"":false},""processor"":{""artifact"":"""",""version"":""0.0.0""}}"
sp_302_Normalized,"[{""p"":"""",""tv"":"""",""e"":""""}]"
sp_303_Normalized,"[{""p"":"""",""tv"":"""",""e"":""""}]"
sp_304_Normalized,"[{""p"":"""",""tv"":"""",""e"":""""}]"
sp_305_Normalized,"[{""p"":"""",""tv"":"""",""e"":""""}]"
sp_306_Normalized,"[{""p"":"""",""tv"":"""",""e"":""""}]"
sp_378_Normalized,"{""awsRegion"":"""",""auth"":null,""purpose"":""ENRICHED_EVENTS"",""manifest"":"""",""stageUrl"":"""",""warehouse"":"""",""snowflakeRegion"":"""",""input"":"""",""database"":"""",""password"":"""",""stage"":"""",""name"":"""",""account"":"""",""username"":""""}"
sp_235_Normalized,"{""shredding"":{""types"":[],""timestamps"":{""min"":"""",""max"":"""",""jobCompleted"":"""",""jobStarted"":""""},""compression"":""GZIP"",""processor"":{""artifact"":"""",""version"":""""},""base"":""""},""application"":"""",""loadingCompleted"":"""",""attempt"":0,""tags"":{},""loadingStarted"":""""}"
sp_172_Normalized,{}
sp_153_Normalized,{}
sp_222_Normalized,"{""trigger"":""push"",""body"":"""",""title"":""""}"
sp_379_Normalized,"{""awsRegion"":"""",""purpose"":""ENRICHED_EVENTS"",""auth"":null,""manifest"":"""",""stageUrl"":"""",""snowflakeRegion"":"""",""warehouse"":"""",""input"":"""",""password"":"""",""database"":"""",""stage"":"""",""name"":"""",""account"":"""",""username"":""""}"
sp_307_Normalized,"{""pii"":{""pojo"":[]},""strategy"":{""pseudonymize"":{""hashFunction"":""MD2""}}}"
sp_96_Normalized,{}
sp_408_Normalized,"{""deviceClass"":""Desktop""}"
