objectId,inSize,outSize,totalTime,parsing,extractSchema,2Full,2Witness,notElim,merge1,groupize,separation,expansion,preparation,merge3,initGEnv,genWitness,genSuccess,noWitness,valid,#iterations,cancelledAt,dateAndTime,timeout,git,machine
o90339,645,1740,3,1,0,0,0,0,0,0,0,0,0,1,0,0,true,false,true,2,,,,,
o79541,645,1340,4,0,0,0,1,0,0,0,1,0,0,0,0,1,true,false,true,2,,,,,
o27219,647,2929,5,0,0,0,0,0,1,0,1,0,1,0,1,0,true,false,true,2,,,,,
o64536,647,1847,2,0,0,0,0,0,0,0,0,0,1,0,0,0,true,false,true,2,,,,,
o5799,648,1487,1,0,0,0,0,0,0,0,0,1,0,0,0,0,true,false,true,2,,,,,
o47163,649,2543,4,0,0,0,1,0,1,0,1,0,0,1,0,0,true,false,true,2,,,,,
o4259,650,4009,7,0,0,0,0,0,1,0,0,0,2,0,1,1,true,false,true,2,,,,,
o9829,650,4633,7,0,0,0,0,0,1,0,1,0,2,1,1,0,true,false,true,2,,,,,
o68826,650,1130,8,0,0,0,1,0,3,0,0,0,3,0,0,1,true,false,true,2,,,,,
o90242,651,933,3,0,0,0,1,0,0,0,1,0,0,0,1,0,true,false,true,2,,,,,
o2249,651,1009,4,1,0,0,0,0,0,0,0,0,2,0,0,1,true,false,true,2,,,,,
o83708,651,3419,5,0,0,0,1,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o86226,655,1469,3,0,0,0,1,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o65447,656,1888,4,0,0,0,0,0,1,0,0,0,1,0,1,0,true,false,true,2,,,,,
o10010,656,3519,10,0,0,0,3,0,2,1,1,0,2,0,1,0,true,false,true,2,,,,,
o47856,656,3002,3,0,0,0,0,0,0,1,0,0,0,1,0,0,true,false,true,2,,,,,
o39447,657,2016,3,0,0,0,0,0,0,1,0,0,1,0,0,0,true,false,true,2,,,,,
o66160,657,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,true,2,,,,,
o55691,657,3118,5,0,0,0,1,0,0,1,0,0,1,0,1,0,true,false,true,2,,,,,
o7442,658,601,2,0,0,0,0,0,0,0,0,0,1,0,0,1,true,false,true,2,,,,,
o83774,658,1739,4,0,0,0,0,0,1,0,0,0,2,0,0,0,true,false,true,2,,,,,
