"objectId","inSize","outSize","totalTime","parsing","extractSchema","X2Full","X2Witness","notElim","merge1","groupize","separation","expansion","preparation","merge3","initGEnv","genWitness","genSuccess","noWitness","valid","X.iterations","cancelledAt","dateAndTime","timeout","git","machine"
"kb_1074_Normalized",937,1326,9,0,0,0,1,0,0,1,1,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1075_Normalized",937,1326,9,0,0,1,0,0,0,1,1,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1073_Normalized",937,1326,8,0,0,0,1,0,0,1,1,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_753_Normalized",948,1049,10,0,0,0,1,0,0,1,1,0,3,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_752_Normalized",948,1049,10,0,0,0,1,0,1,1,0,0,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_619_Normalized",949,1345,8,0,0,0,1,0,0,0,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_618_Normalized",949,1345,8,1,0,0,0,0,0,1,0,1,2,0,0,0,"true","false","true",2,NA,"",NA,"",""
"kb_962_Normalized",950,803,9,1,0,0,0,0,1,1,0,0,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_680_Normalized",950,735,12,0,0,0,1,0,0,1,1,0,3,0,0,5,"true","false","true",2,NA,"",NA,"",""
"kb_961_Normalized",950,803,7,0,0,0,0,0,0,1,0,0,3,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_679_Normalized",950,735,7,0,0,0,0,0,0,0,0,0,3,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_13_Normalized",959,816,9,0,0,0,1,0,0,1,1,1,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_673_Normalized",964,923,8,1,0,0,0,0,0,1,0,0,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_674_Normalized",964,923,7,0,0,0,1,0,0,1,0,1,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1088_Normalized",975,1104,10,0,0,0,0,0,0,1,1,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_1087_Normalized",975,1104,10,1,0,0,0,0,1,1,0,1,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_1061_Normalized",1042,1528,8,1,0,0,0,0,0,1,0,0,1,1,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1060_Normalized",1042,1528,8,0,1,0,0,0,1,1,0,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_639_Normalized",1046,1462,11,0,0,0,1,0,0,1,1,0,3,0,2,1,"true","false","true",2,NA,"",NA,"",""
"kb_641_Normalized",1046,1462,11,1,0,0,0,0,1,1,1,1,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_640_Normalized",1046,1462,11,0,0,0,1,0,0,1,1,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_417_Normalized",1054,1707,14,0,0,1,0,0,1,1,0,0,3,1,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_418_Normalized",1054,1707,14,0,1,0,0,0,1,1,1,0,3,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_1069_Normalized",1069,1584,9,0,0,0,0,0,0,1,0,1,2,0,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_1068_Normalized",1069,1584,9,0,0,0,1,0,0,1,1,0,3,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_473_Normalized",1073,1414,9,0,0,0,1,0,0,1,0,0,1,1,1,2,"true","false","true",2,NA,"",NA,"",""
"kb_472_Normalized",1073,1414,9,1,0,0,0,0,0,1,1,0,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1128_Normalized",1077,1136,5,1,0,0,0,0,0,1,0,0,0,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_1130_Normalized",1078,1136,5,0,0,0,1,0,0,0,0,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_1129_Normalized",1078,1136,5,0,0,0,0,0,0,1,0,1,1,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_1127_Normalized",1078,1136,5,0,0,1,0,0,0,1,0,0,1,1,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_600_Normalized",1078,1348,6,0,0,0,1,0,0,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_599_Normalized",1078,1348,6,0,0,0,1,0,0,1,1,0,1,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_995_Normalized",1094,1253,5,0,0,0,1,0,0,1,0,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_994_Normalized",1094,1253,5,0,0,0,1,0,0,1,0,0,2,0,1,0,"true","false","true",2,NA,"",NA,"",""
"kb_605_Normalized",1097,1250,9,0,0,0,1,0,0,1,0,1,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_604_Normalized",1097,1250,9,0,0,0,1,0,0,1,0,1,2,0,1,1,"true","false","true",2,NA,"",NA,"",""
"kb_99_Normalized",1098,1221,10,0,0,0,0,0,0,1,1,0,4,0,1,1,"true","false","true",2,NA,"",NA,"",""
